Grant.Status,Sponsor.Code,Grant.Category.Code,Contract.Value.Band...see.note.A,Start.date,RFCD.Code.1,RFCD.Percentage.1,RFCD.Code.2,RFCD.Percentage.2,RFCD.Code.3,RFCD.Percentage.3,RFCD.Code.4,RFCD.Percentage.4,RFCD.Code.5,RFCD.Percentage.5,SEO.Code.1,SEO.Percentage.1,SEO.Code.2,SEO.Percentage.2,SEO.Code.3,SEO.Percentage.3,SEO.Code.4,SEO.Percentage.4,SEO.Code.5,SEO.Percentage.5,Person.ID.1,Role.1,Year.of.Birth.1,Country.of.Birth.1,Home.Language.1,Dept.No..1,Faculty.No..1,With.PHD.1,No..of.Years.in.Uni.at.Time.of.Grant.1,Number.of.Successful.Grant.1,Number.of.Unsuccessful.Grant.1,A..1,A.1,B.1,C.1,Person.ID.2,Role.2,Year.of.Birth.2,Country.of.Birth.2,Home.Language.2,Dept.No..2,Faculty.No..2,With.PHD.2,No..of.Years.in.Uni.at.Time.of.Grant.2,Number.of.Successful.Grant.2,Number.of.Unsuccessful.Grant.2,A..2,A.2,B.2,C.2
1,2B,10A,G ,19/11/05,230111,60,230112,40,0,0,0,0,0,0,740301,100,0,0,0,0,0,0,0,0,67272,CHIEF_INVESTIGATOR,1965,Australia,,3098,31,Yes ,>=0 to 5,0,0,2,4,0,0,80037,CHIEF_INVESTIGATOR,1950,Australia,,3098,31,Yes ,more than 15,1,0,0,0,0,0
0,136D,30B,,19/11/05,270603,20,321003,30,321012,50,0,0,0,0,730106,30,730115,50,730116,20,0,0,0,0,1797,CHIEF_INVESTIGATOR,1960,North America,,2678,25,Yes ,>5 to 10,2,7,0,8,4,0,,STUD_CHIEF_INVESTIGATOR,,,,,,,,,,,,,
1,4D,10A,,19/11/05,320702,100,0,0,0,0,0,0,0,0,730104,100,0,0,0,0,0,0,0,0,73882,CHIEF_INVESTIGATOR,1960,Great Britain,,2713,25,,Less than 0,1,1,4,3,2,1,,,,,,,,,,,,,,,
0,,,,19/11/05,291599,51,239901,49,0,0,0,0,0,0,730199,100,0,0,0,0,0,0,0,0,38457,CHIEF_INVESTIGATOR,1970,Australia,,2153,19,,Less than 0,0,0,3,4,2,0,132247,CHIEF_INVESTIGATOR,1960,Australia,,1998,19,,Less than 0,0,1,0,0,0,0
1,2B,10A,,19/11/05,280203,40,280106,30,280103,30,0,0,0,0,700103,50,700102,50,0,0,0,0,0,0,9067,CHIEF_INVESTIGATOR,1960,Australia,,2538,25,Yes ,more than 15,3,3,6,12,2,2,8067,CHIEF_INVESTIGATOR,1960,Western Europe,Other,1998,19,Yes ,>5 to 10,0,2,0,0,0,0
0,100D,10B,,19/11/05,321099,100,0,0,0,0,0,0,0,0,730111,100,0,0,0,0,0,0,0,0,69482,CHIEF_INVESTIGATOR,1965,Australia,,2883,25,Yes ,>=0 to 5,0,1,0,0,2,2,,,,,,,,,,,,,,,
0,1A,10A,,19/11/05,270603,33,321026,33,321005,34,0,0,0,0,730116,33,730204,33,730215,34,0,0,0,0,1797,CHIEF_INVESTIGATOR,1960,North America,,2678,25,Yes ,>5 to 10,2,7,0,8,4,0,,,,,,,,,,,,,,,
1,21A,50A,,19/11/05,300903,33,370499,33,370106,34,0,0,0,0,759900,33,770802,33,740301,34,0,0,0,0,26882,CHIEF_INVESTIGATOR,1950,Australia,,2523,25,Yes ,>=0 to 5,1,0,0,2,1,2,,,,,,,,,,,,,,,
1,2B,10A,F ,19/11/05,300508,40,270201,40,270899,20,0,0,0,0,780105,100,0,0,0,0,0,0,0,0,69517,PRINCIPAL_SUPERVISOR,1950,Australia,English,1258,34,Yes ,more than 15,0,0,6,4,6,32,66672,CHIEF_INVESTIGATOR,1960,Australia,,1258,34,Yes ,>10 to 15,2,0,0,0,0,0
0,24D,30B,A ,19/11/05,380103,100,0,0,0,0,0,0,0,0,730211,100,0,0,0,0,0,0,0,0,592577,CHIEF_INVESTIGATOR,1975,,,2558,25,,,0,1,0,0,0,0,,,,,,,,,,,,,,,
1,148D,30B,A ,19/11/05,270103,20,270106,40,321015,40,0,0,0,0,730108,40,730105,30,730115,30,0,0,0,0,15282,CHIEF_INVESTIGATOR,1965,Australia,English,2713,25,Yes ,>5 to 10,1,1,1,1,2,0,,,,,,,,,,,,,,,
0,62B,10B,,19/11/05,321021,40,321204,30,320799,30,0,0,0,0,730211,100,0,0,0,0,0,0,0,0,9067,CHIEF_INVESTIGATOR,1960,Australia,,2538,25,Yes ,more than 15,3,3,6,12,2,2,65807,CHIEF_INVESTIGATOR,1950,Australia,,2768,25,,more than 15,0,0,0,0,0,0
1,2B,10A,D ,19/11/05,291801,60,291804,30,291802,10,0,0,0,0,671403,40,671402,30,671401,30,0,0,0,0,4902,CHIEF_INVESTIGATOR,1950,Australia,,2053,19,Yes ,>5 to 10,1,0,1,3,4,1,127447,CHIEF_INVESTIGATOR,1970,Australia,,2053,19,Yes ,Less than 0,0,0,0,0,0,0
0,,,A ,19/11/05,,,,,,,,,,,,,,,,,,,,,36527,CHIEF_INVESTIGATOR,1955,Australia,,2653,25,,>=0 to 5,1,4,0,0,0,0,,,,,,,,,,,,,,,
0,,,C ,19/11/05,,,,,,,,,,,,,,,,,,,,,16137,CHIEF_INVESTIGATOR,1950,Australia,,2653,25,,>5 to 10,1,5,4,3,1,0,,,,,,,,,,,,,,,
0,,,,19/11/05,270299,100,0,0,0,0,0,0,0,0,730108,80,780105,20,0,0,0,0,0,0,20927,CHIEF_INVESTIGATOR,1965,Australia,,2578,25,Yes ,>5 to 10,0,1,0,2,2,0,,,,,,,,,,,,,,,
0,60D,30D,,19/11/05,270603,50,321004,50,0,0,0,0,0,0,730106,100,0,0,0,0,0,0,0,0,1797,CHIEF_INVESTIGATOR,1960,North America,,2678,25,Yes ,>5 to 10,2,7,0,8,4,0,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,
1,2B,10A,B ,19/11/05,350201,60,380108,40,0,0,0,0,0,0,720403,60,750101,40,0,0,0,0,0,0,3067,CHIEF_INVESTIGATOR,1950,,,,,,,0,0,3,3,1,0,51027,CHIEF_INVESTIGATOR,1960,,,,,,,0,0,0,0,0,0
0,143C,30B,,19/11/05,400303,80,400301,20,0,0,0,0,0,0,750802,80,750901,20,0,0,0,0,0,0,39817,CHIEF_INVESTIGATOR,1955,Australia,,653,7,,>=0 to 5,0,1,0,0,0,0,,,,,,,,,,,,,,,
0,60D,30D,H ,19/11/05,320702,100,0,0,0,0,0,0,0,0,730104,100,0,0,0,0,0,0,0,0,69032,DELEGATED_RESEARCHER,1965,Australia,English,2538,25,Yes ,>=0 to 5,1,2,4,2,3,1,64842,CHIEF_INVESTIGATOR,1960,Australia,,2538,25,Yes ,>=0 to 5,0,0,0,0,0,0
1,4D,10A,,19/11/05,320702,20,321013,20,321020,20,321021,20,321204,20,670502,25,730104,25,730203,25,730211,25,0,0,69262,CHIEF_INVESTIGATOR,1960,Australia,,2653,25,Yes ,>10 to 15,1,0,7,5,7,7,28502,CHIEF_INVESTIGATOR,1970,New Zealand,,2603,25,Yes ,>=0 to 5,0,0,0,0,0,0
0,24D,30B,A ,19/11/05,330107,100,0,0,0,0,0,0,0,0,740201,40,740401,40,740102,20,0,0,0,0,4247,CHIEF_INVESTIGATOR,1950,Australia,,2298,46,,Less than 0,0,1,0,0,0,0,,,,,,,,,,,,,,,
1,2B,10A,,19/11/05,260109,50,260602,40,260112,10,0,0,0,0,780104,60,770101,40,0,0,0,0,0,0,5287,CHIEF_INVESTIGATOR,1960,Australia,,3123,31,Yes ,>=0 to 5,2,1,8,3,1,0,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,
0,148D,30B,A ,19/11/05,270104,100,0,0,0,0,0,0,0,0,730105,100,0,0,0,0,0,0,0,0,66887,CHIEF_INVESTIGATOR,1955,Australia,,2813,25,,Less than 0,0,2,0,5,2,0,,,,,,,,,,,,,,,
0,,,A ,19/11/05,270201,100,0,0,0,0,0,0,0,0,630104,100,0,0,0,0,0,0,0,0,70662,CHIEF_INVESTIGATOR,1970,Australia,,3268,31,,Less than 0,1,1,0,3,0,0,,,,,,,,,,,,,,,
0,,,B ,19/11/05,321028,50,270108,50,0,0,0,0,0,0,730114,100,0,0,0,0,0,0,0,0,149767,CHIEF_INVESTIGATOR,1975,Australia,,2828,25,,,1,2,0,0,0,0,,,,,,,,,,,,,,,
0,18B,20C,,19/11/05,321216,50,321299,50,0,0,0,0,0,0,730201,50,730399,50,0,0,0,0,0,0,63562,CHIEF_INVESTIGATOR,1940,Australia,,2523,25,,Less than 0,1,1,0,2,5,2,,,,,,,,,,,,,,,
0,4D,10A,,19/11/05,320702,40,320703,40,270105,20,0,0,0,0,730000,40,730104,40,730213,20,0,0,0,0,71867,CHIEF_INVESTIGATOR,1945,Australia,,2578,25,Yes ,>10 to 15,3,1,7,19,26,13,,STUD_CHIEF_INVESTIGATOR,,,,,,,,,,,,,
1,29A,10B,A ,19/11/05,321004,40,321003,60,0,0,0,0,0,0,730105,40,730106,60,0,0,0,0,0,0,142457,CHIEF_INVESTIGATOR,1970,Australia,,2713,25,,Less than 0,1,1,0,0,0,0,86672,CHIEF_INVESTIGATOR,1975,Australia,,2713,25,Yes ,>=0 to 5,1,0,0,0,0,0
1,136D,30B,,19/11/05,321004,100,0,0,0,0,0,0,0,0,730105,100,0,0,0,0,0,0,0,0,74162,CHIEF_INVESTIGATOR,1970,Australia,,2813,25,Yes ,>5 to 10,1,0,10,19,7,6,,STUD_CHIEF_INVESTIGATOR,,,,,,,,,,,,,
0,89A,30B,,19/11/05,320602,100,0,0,0,0,0,0,0,0,730107,50,730203,50,0,0,0,0,0,0,67647,CHIEF_INVESTIGATOR,1965,Australia,,2678,25,Yes ,>5 to 10,1,6,9,8,8,4,,,,,,,,,,,,,,,
0,,,A ,19/11/05,420303,50,370199,30,380105,20,0,0,0,0,730201,40,751004,40,730204,20,0,0,0,0,63492,CHIEF_INVESTIGATOR,1945,Australia,,2523,25,,Less than 0,0,1,1,0,9,4,,,,,,,,,,,,,,,
0,40D,10B,,19/11/05,321003,100,0,0,0,0,0,0,0,0,730106,100,0,0,0,0,0,0,0,0,69812,CHIEF_INVESTIGATOR,1960,Australia,,2813,25,,>5 to 10,1,5,10,7,9,1,119372,CHIEF_INVESTIGATOR,1970,Eastern Europe,Other,2813,25,Yes ,>=0 to 5,0,0,0,0,0,0
0,34B,30C,A ,19/11/05,321402,100,0,0,0,0,0,0,0,0,730217,100,0,0,0,0,0,0,0,0,491312,CHIEF_INVESTIGATOR,1960,Australia,,2563,25,Yes ,>=0 to 5,0,3,0,0,0,0,,,,,,,,,,,,,,,
1,2B,10A,,19/11/05,300508,50,270201,50,0,0,0,0,0,0,780105,100,0,0,0,0,0,0,0,0,66672,CHIEF_INVESTIGATOR,1960,Australia,,1258,34,Yes ,>10 to 15,2,0,16,15,13,15,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,
1,21A,50A,,19/11/05,300403,60,270899,30,270604,10,0,0,0,0,630106,90,730216,10,0,0,0,0,0,0,70662,CHIEF_INVESTIGATOR,1970,Australia,,3268,31,,Less than 0,1,1,0,3,0,0,,,,,,,,,,,,,,,
1,47C,10B,A ,19/11/05,270402,100,0,0,0,0,0,0,0,0,771102,100,0,0,0,0,0,0,0,0,30977,CHIEF_INVESTIGATOR,1950,Great Britain,,3028,31,,Less than 0,1,0,10,8,8,9,,,,,,,,,,,,,,,
0,4D,20C,,19/11/05,380107,65,321299,35,0,0,0,0,0,0,730106,25,730211,65,730217,10,0,0,0,0,30457,CHIEF_INVESTIGATOR,1955,Asia Pacific,,2558,25,,Less than 0,0,0,0,0,2,1,,STUD_CHIEF_INVESTIGATOR,,,,,,,,,,,,,
1,4D,10A,,19/11/05,321015,100,0,0,0,0,0,0,0,0,730108,100,0,0,0,0,0,0,0,0,10577,CHIEF_INVESTIGATOR,1960,Australia,,2653,25,,>5 to 10,0,1,3,4,3,1,727732,CHIEF_INVESTIGATOR,1960,,,2603,25,,Less than 0,1,0,0,0,0,0
1,34B,30C,,19/11/05,270708,100,0,0,0,0,0,0,0,0,770603,100,0,0,0,0,0,0,0,0,85642,CHIEF_INVESTIGATOR,1955,Australia,,3258,31,Yes ,>=0 to 5,1,5,16,21,24,6,,STUD_CHIEF_INVESTIGATOR,,,,,,,,,,,,,
0,,,D ,19/11/05,,,,,,,,,,,,,,,,,,,,,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,18B,20A,,19/11/05,330103,100,0,0,0,0,0,0,0,0,749905,100,0,0,0,0,0,0,0,0,82377,CHIEF_INVESTIGATOR,1950,New Zealand,,2298,46,Yes ,more than 15,0,0,1,0,1,3,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,
0,32D,30B,,19/11/05,321015,100,0,0,0,0,0,0,0,0,,,,,,,,,,,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,172D,30B,,19/11/05,270106,30,270201,50,270105,20,0,0,0,0,730108,80,730113,20,0,0,0,0,0,0,46237,CHIEF_INVESTIGATOR,1945,,,,,,,0,0,0,1,2,1,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,
0,4D,10A,,19/11/05,210000,50,270000,50,0,0,0,0,0,0,730211,30,780105,70,0,0,0,0,0,0,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21A,50A,,19/11/05,270105,33,300405,34,270205,33,0,0,0,0,630101,50,670101,50,0,0,0,0,0,0,9227,CHIEF_INVESTIGATOR,1970,Australia,,1258,34,Yes ,>=0 to 5,0,3,0,2,3,3,10662,CHIEF_INVESTIGATOR,1955,Australia,English,1258,34,Yes ,>5 to 10,0,0,0,0,0,0
0,184D,30B,,19/11/05,,,,,,,,,,,,,,,,,,,,,69147,CHIEF_INVESTIGATOR,1960,Australia,,2778,25,,>5 to 10,0,1,1,1,0,2,,,,,,,,,,,,,,,
0,2B,10A,,19/11/05,240204,40,299999,30,291702,30,0,0,0,0,671299,30,671399,40,700399,30,0,0,0,0,15187,CHIEF_INVESTIGATOR,1960,Australia,,3198,31,Yes ,>10 to 15,0,1,4,17,0,3,,,,,,,,,,,,,,,
1,2B,10A,H ,19/11/05,320405,80,270199,10,270304,10,0,0,0,0,730101,80,780105,20,0,0,0,0,0,0,1217,CHIEF_INVESTIGATOR,1960,Australia,English,3028,31,Yes ,more than 15,2,0,16,13,8,0,,,,,,,,,,,,,,,
0,47C,10B,,19/11/05,250200,100,0,0,0,0,0,0,0,0,780103,100,0,0,0,0,0,0,0,0,489582,CHIEF_INVESTIGATOR,1975,Great Britain,,3048,31,Yes ,>=0 to 5,0,1,11,1,2,0,,,,,,,,,,,,,,,
1,74B,30C,,19/11/05,321202,50,270203,50,0,0,0,0,0,0,730213,50,730110,50,0,0,0,0,0,0,76352,CHIEF_INVESTIGATOR,1965,Australia,,2523,25,Yes ,>10 to 15,1,0,4,4,0,0,649042,CHIEF_INVESTIGATOR,1975,Australia,,2523,25,Yes ,>=0 to 5,3,0,0,0,0,0
1,29A,10B,A ,19/11/05,321004,50,321012,50,0,0,0,0,0,0,730105,100,0,0,0,0,0,0,0,0,74162,CHIEF_INVESTIGATOR,1970,Australia,,2813,25,Yes ,>5 to 10,1,0,10,19,7,6,,,,,,,,,,,,,,,
0,6B,30B,,19/11/05,320502,100,0,0,0,0,0,0,0,0,730106,100,0,0,0,0,0,0,0,0,66657,PRINCIPAL_SUPERVISOR,1965,Australia,,2668,25,,Less than 0,0,0,10,4,2,0,,STUD_CHIEF_INVESTIGATOR,,,,,,,,,,,,,
1,170B,30B,,19/11/05,300105,50,300399,50,0,0,0,0,0,0,770502,100,0,0,0,0,0,0,0,0,66902,CHIEF_INVESTIGATOR,1945,Australia,,1033,1,,Less than 0,1,0,0,0,1,0,,,,,,,,,,,,,,,
1,4D,10A,,19/11/05,270103,70,270199,30,0,0,0,0,0,0,730108,100,0,0,0,0,0,0,0,0,79057,CHIEF_INVESTIGATOR,1955,Australia,,2603,25,,>5 to 10,1,0,2,2,1,0,44697,CHIEF_INVESTIGATOR,1965,Australia,,2603,25,,>=0 to 5,2,0,0,0,0,0
0,40D,30B,,19/11/05,321216,50,321299,50,0,0,0,0,0,0,730207,60,730218,20,730219,20,0,0,0,0,22972,CHIEF_INVESTIGATOR,1965,Australia,,2523,25,,Less than 0,0,1,0,2,1,3,,,,,,,,,,,,,,,
0,24D,30B,A ,19/11/05,321021,100,0,0,0,0,0,0,0,0,730211,100,0,0,0,0,0,0,0,0,4222,CHIEF_INVESTIGATOR,1960,Australia,,2768,25,,>10 to 15,0,2,9,11,4,2,,,,,,,,,,,,,,,
1,29A,10B,A ,19/11/05,321004,60,321216,40,0,0,0,0,0,0,730105,60,730207,40,0,0,0,0,0,0,5967,CHIEF_INVESTIGATOR,1955,Australia,,2923,25,Yes ,>5 to 10,0,1,0,3,5,2,27307,CHIEF_INVESTIGATOR,1950,Australia,,2923,25,,Less than 0,1,1,0,0,0,0
1,4D,10A,,19/11/05,321015,40,230204,30,321202,30,0,0,0,0,730108,40,730107,30,730213,30,0,0,0,0,76352,CHIEF_INVESTIGATOR,1965,Australia,,2523,25,Yes ,>10 to 15,1,0,4,4,0,0,67842,CHIEF_INVESTIGATOR,1965,Australia,,2653,25,Yes ,>=0 to 5,0,0,0,0,0,0
0,,,,19/11/05,321208,45,321204,30,321206,25,0,0,0,0,730211,45,730217,30,730306,25,0,0,0,0,131257,CHIEF_INVESTIGATOR,1980,Australia,,2923,25,,,0,1,0,0,0,0,,,,,,,,,,,,,,,
0,12D,30B,D ,19/11/05,290104,40,270899,30,329999,30,0,0,0,0,670105,60,670499,10,730113,30,0,0,0,0,56387,CHIEF_INVESTIGATOR,1960,Australia,,3268,31,Yes ,>=0 to 5,1,1,0,1,0,0,,,,,,,,,,,,,,,
0,101A,30G,A ,19/11/05,321021,20,321204,40,380107,40,0,0,0,0,750101,40,740401,40,750305,20,0,0,0,0,39632,CHIEF_INVESTIGATOR,1975,Great Britain,,2533,25,Yes ,>=0 to 5,0,2,0,0,1,3,,,,,,,,,,,,,,,
0,2B,10A,,19/11/05,270804,40,300602,30,300699,30,0,0,0,0,780105,60,620303,30,620399,10,0,0,0,0,8012,CHIEF_INVESTIGATOR,1960,Western Europe,,1098,1,Yes ,>5 to 10,1,1,0,0,0,1,,,,,,,,,,,,,,,
0,24D,30B,,19/11/05,321006,60,321013,40,0,0,0,0,0,0,730113,60,730104,40,0,0,0,0,0,0,71867,CHIEF_INVESTIGATOR,1945,Australia,,2578,25,Yes ,>10 to 15,3,1,7,19,26,13,,,,,,,,,,,,,,,
0,164D,10B,,19/11/05,320202,60,270199,40,0,0,0,0,0,0,730102,100,0,0,0,0,0,0,0,0,12957,CHIEF_INVESTIGATOR,1965,Great Britain,,2603,25,Yes ,>5 to 10,1,6,10,6,8,1,,,,,,,,,,,,,,,
0,2B,10A,,19/11/05,290801,60,291899,40,0,0,0,0,0,0,680202,50,680302,30,680402,20,0,0,0,0,73017,CHIEF_INVESTIGATOR,1960,The Americas,,2103,19,Yes ,>10 to 15,0,2,4,1,3,3,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,
0,170B,30B,G ,19/11/05,291104,40,340201,40,300902,20,0,0,0,0,770502,100,0,0,0,0,0,0,0,0,125287,CHIEF_INVESTIGATOR,1945,Australia,,2103,19,Yes ,>=0 to 5,0,2,0,0,0,0,,,,,,,,,,,,,,,
1,4D,10A,,19/11/05,270199,100,0,0,0,0,0,0,0,0,730108,100,0,0,0,0,0,0,0,0,497907,CHIEF_INVESTIGATOR,1970,Australia,,2578,25,Yes ,Less than 0,0,0,3,1,1,0,44697,CHIEF_INVESTIGATOR,1965,Australia,,2603,25,,>=0 to 5,2,0,0,0,0,0
1,4D,10A,F ,19/11/05,320302,100,0,0,0,0,0,0,0,0,730101,50,670403,50,0,0,0,0,0,0,1687,CHIEF_INVESTIGATOR,1960,Great Britain,,2603,25,Yes ,>10 to 15,1,0,7,10,3,1,53202,CHIEF_INVESTIGATOR,1975,Australia,,3048,31,Yes ,>=0 to 5,0,1,0,0,0,0
0,40D,10B,,19/11/05,270699,50,270299,50,0,0,0,0,0,0,730217,100,0,0,0,0,0,0,0,0,132232,CHIEF_INVESTIGATOR,1975,Australia,,2523,25,Yes ,>=0 to 5,1,0,0,0,1,0,6242,CHIEF_INVESTIGATOR,1955,Asia Pacific,Other,2548,25,,Less than 0,0,1,0,0,0,0
1,2B,10A,F ,19/11/05,360101,60,400101,30,400104,10,0,0,0,0,750602,60,751004,40,0,0,0,0,0,0,28682,CHIEF_INVESTIGATOR,1975,Australia,,828,7,Yes ,>=0 to 5,1,0,0,1,1,2,,,,,,,,,,,,,,,
0,,,A ,19/11/05,380103,35,370302,35,321022,30,0,0,0,0,780107,50,780108,50,0,0,0,0,0,0,67622,CHIEF_INVESTIGATOR,1945,North America,,803,7,Yes ,more than 15,0,1,0,0,0,0,,,,,,,,,,,,,,,
0,59C,10A,,19/11/05,280100,40,291000,60,0,0,0,0,0,0,700103,100,0,0,0,0,0,0,0,0,115417,CHIEF_INVESTIGATOR,1965,Western Europe,Other,2253,19,Yes ,>=0 to 5,0,1,0,4,4,0,,,,,,,,,,,,,,,
0,,,,19/11/05,321005,100,0,0,0,0,0,0,0,0,730116,100,0,0,0,0,0,0,0,0,19362,CHIEF_INVESTIGATOR,1955,Australia,,2893,25,,>=0 to 5,0,1,0,2,3,0,,,,,,,,,,,,,,,
1,2B,10A,,19/11/05,390301,50,390302,30,390304,20,0,0,0,0,750503,80,730219,20,0,0,0,0,0,0,73737,CHIEF_INVESTIGATOR,1950,Australia,,828,7,,Less than 0,0,0,0,3,3,1,66957,CHIEF_INVESTIGATOR,1940,Australia,,2558,25,Yes ,more than 15,1,0,0,0,0,0
0,75C,10B,,19/11/05,320899,100,0,0,0,0,0,0,0,0,730214,100,0,0,0,0,0,0,0,0,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2B,10A,E ,19/11/05,350301,50,350302,50,0,0,0,0,0,0,710401,100,0,0,0,0,0,0,0,0,69952,CHIEF_INVESTIGATOR,1960,Australia,,1578,13,Yes ,>10 to 15,0,0,2,8,6,0,5302,CHIEF_INVESTIGATOR,1970,Australia,,1578,13,Yes ,>5 to 10,1,0,0,0,0,0
0,161A,30B,,19/11/05,321006,100,0,0,0,0,0,0,0,0,730108,100,0,0,0,0,0,0,0,0,,EXT_CHIEF_INVESTIGATOR,,,,,,,,,,,,,,85862,CHIEF_INVESTIGATOR,1950,Western Europe,,2728,25,,>=0 to 5,1,0,0,0,0,0
1,40D,30B,B ,19/11/05,320503,100,0,0,0,0,0,0,0,0,730199,100,0,0,0,0,0,0,0,0,74932,CHIEF_INVESTIGATOR,1960,Great Britain,,2668,25,Yes ,>10 to 15,0,0,2,3,6,0,,STUD_CHIEF_INVESTIGATOR,,,,,,,,,,,,,
0,157A,30B,,19/11/05,300399,100,0,0,0,0,0,0,0,0,770503,100,0,0,0,0,0,0,0,0,26857,CHIEF_INVESTIGATOR,1965,Australia,,1033,1,,Less than 0,0,1,0,0,0,0,,,,,,,,,,,,,,,
0,62B,10B,,19/11/05,320702,100,0,0,0,0,0,0,0,0,730104,80,730211,20,0,0,0,0,0,0,79427,PRINCIPAL_SUPERVISOR,1960,Australia,,2498,25,,Less than 0,0,1,1,1,1,3,130967,CHIEF_INVESTIGATOR,1975,Great Britain,,2538,25,,Less than 0,1,3,0,0,0,0
